person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_income
RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,12.631340380934516
MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,12.611537753638338
OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,9.392661928770137
RENT,1.0,EDUCATION,E,30000,18.39,1,0.625,N,2,10.778956289890028
RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,11.06663836234181
RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,11.225243392518449
RENT,3.0,DEBTCONSOLIDATION,D,30000,10.995555082490686,1,0.42,N,4,11.177452728682098
RENT,6.0,MEDICAL,E,30000,17.99,1,0.48348106365834,N,2,11.035695790632753
OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,9.392661928770137
MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,12.611537753638338
OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,12.611537753638338
OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,12.611537753638338
MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,12.611537753638338
MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,12.611537753638338
RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,11.298369930842552
RENT,4.0,MEDICAL,B,30000,12.69,1,0.4524886877828054,N,3,11.101945176173954
RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,11.396706205977528
RENT,4.0,DEBTCONSOLIDATION,D,30000,10.995555082490686,1,0.38,Y,4,11.26446410567173
RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,11.26446410567173
RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,11.429587333346896
RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,11.48246625748552
RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,11.695247021764184
RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,12.542544882151386
RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,12.532148165968824
OWN,3.0,PERSONAL,A,35000,10.995555082490686,0,0.13,N,4,12.531772785169476
RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,11.759785542901756
OWN,2.0,VENTURE,E,1750,10.995555082490686,0,0.15,Y,3,9.392661928770137
RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,11.782952602183288
OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,12.524526376648708
MORTGAGE,0.0,EDUCATION,B,10000,10.995555082490686,1,0.04,N,4,12.479909311159902
MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1126887536623845,N,2,12.309756756807056
RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,11.156250521031495
OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,12.468436909997664
MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,12.464583340681674
RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,12.429216196844385
OWN,0.0,MEDICAL,C,3000,10.995555082490686,1,0.25,N,3,9.392661928770137
RENT,6.0,MEDICAL,A,28000,10.995555082490686,1,0.49,N,2,10.949928968875328
RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,11.082142548877776
RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,11.350406535472452
OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,9.392661928770137
RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,11.385092093460344
OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,9.392661928770137
OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,9.392661928770137
RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,11.326644078388584
RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,12.429216196844385
RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,11.512925464970229
RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,11.608235644774552
OWN,0.0,DEBTCONSOLIDATION,A,2700,10.995555082490686,1,0.225,N,4,9.392661928770137
RENT,6.0,EDUCATION,B,28000,10.995555082490686,1,0.26,N,4,11.589886506106357
RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,11.926358742727569
RENT,2.0,HOMEIMPROVEMENT,A,27600,10.995555082490686,1,0.4,N,2,11.141861783579396
MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,9.392661928770137
RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,11.156250521031495
OWN,6.0,PERSONAL,B,25000,10.995555082490686,0,0.1,N,2,12.388394202324127
RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,11.200950699949402
RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,11.326595886778737
RENT,0.0,VENTURE,D,27000,10.995555082490686,1,0.37,N,3,11.203665590531598
RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,11.042921835724492
RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,11.695247021764184
OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,9.422220731011684
RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,11.002099841204238
MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,12.36307639433984
OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,12.36307639433984
MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,12.36307639433984
MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,12.305936079883606
MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,12.356645504009547
MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,12.345834587905332
RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,11.326595886778737
MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,9.441452092939569
OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,9.441452092939569
RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,10.657259354912508
RENT,2.0,HOMEIMPROVEMENT,D,25000,10.995555082490686,1,0.61,N,3,10.621327345686446
OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,9.45844966930814
MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,9.469622969906265
MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,12.328290278254425
MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,12.323855681186558
MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,12.269047444691562
RENT,0.0,MEDICAL,B,6000,10.995555082490686,0,0.03,N,4,12.323855681186558
MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,9.469622969906265
OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,9.472396896788991
RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,10.645424897265505
RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,10.778956289890028
OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,9.472396896788991
OWN,1.0,EDUCATION,B,4750,10.995555082490686,1,0.37,N,3,9.472396896788991
RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,10.653959799715343
RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,10.799575577092764
MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,12.323855681186558
RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,12.323855681186558
MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,12.323855681186558
RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,10.809000411238404
RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,10.819778284410283
RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,10.819778284410283
RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,10.691944912900398
RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,10.819778284410283
RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,10.819858281210454
RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,10.819858281210454
RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,10.858998997563564
OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,9.487972108574462
MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,12.301382825334498
MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,12.283033686666302
MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,12.283033686666302
MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,12.283033686666302
MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,12.2783933071098
RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,10.858998997563564
RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,10.736396675471232
RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,10.87804719253426
RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,10.757902880692196
RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,10.757902880692196
MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,9.487972108574462
OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,9.487972108574462
MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,12.254862809699606
OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,12.254862809699606
RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,10.778956289890028
RENT,6.0,EDUCATION,B,25000,10.995555082490686,1,0.45,N,4,10.915015734297125
RENT,4.0,HOMEIMPROVEMENT,D,25000,10.995555082490686,1,0.45,Y,4,10.915088464214609
RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,10.915088464214609
RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,10.915088464214609
RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,10.918065845594228
RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,10.933106969717286
OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,12.223421283864786
MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,12.154779351142624
OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,9.54108193388841
RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,11.002099841204238
RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,11.002099841204238
RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,10.896739325546411
OWN,2.0,DEBTCONSOLIDATION,D,4000,10.995555082490686,1,0.29,N,3,9.546812608597396
RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,12.206072645530174
MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,12.206072645530174
MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,12.206072645530174
RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,10.896739325546411
RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,11.002099841204238
RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,11.002099841204238
RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,11.03422815495576
RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,10.940224437486153
MORTGAGE,7.0,EDUCATION,A,28000,10.995555082490686,0,0.14,N,2,12.206072645530174
MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.125,N,2,12.206072645530174
MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,12.206072645530174
MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.075,N,3,12.206072645530174
MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,12.206072645530174
RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,12.206072645530174
RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,11.097410021008562
RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,11.097410021008562
MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,12.206072645530174
RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,12.206072645530174
MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,12.206072645530174
MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,12.206072645530174
MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.995555082490686,0,0.1,N,3,12.206072645530174
RENT,2.0,DEBTCONSOLIDATION,E,25000,10.995555082490686,1,0.42,Y,2,11.002099841204238
OWN,0.0,HOMEIMPROVEMENT,B,3000,10.995555082490686,1,0.21,N,4,9.574983485564092
RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,11.112388195098362
RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,11.112447898373103
RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,11.112447898373103
RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,11.127262984158245
RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,11.141861783579396
MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,12.206072645530174
MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,12.144197241812089
MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.015,N,3,12.206072645530174
RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,11.15619337654164
OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,9.574983485564092
RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,11.156250521031495
OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,9.574983485564092
RENT,7.0,MEDICAL,D,25000,16.49,1,0.445632798573975,N,4,10.934891091510789
RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,11.097410021008562
RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,11.097410021008562
OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,9.574983485564092
RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,11.19288547641032
RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,11.211820372186306
RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,11.225243392518449
RENT,0.0,MEDICAL,C,22000,10.995555082490686,0,0.11,Y,2,12.165250651009918
MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,12.160028707028768
MORTGAGE,5.0,PERSONAL,A,15000,10.995555082490686,0,0.08,N,3,12.15635705328424
MORTGAGE,3.0,VENTURE,C,10000,10.995555082490686,0,0.05,N,3,12.154779351142624
RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,11.225243392518449
RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,11.170435156023451
MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,12.154779351142624
OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,12.154758298289437
RENT,7.0,DEBTCONSOLIDATION,C,25000,10.995555082490686,1,0.32,Y,2,11.26446410567173
RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,11.26446410567173
RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,11.270904857886327
OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,12.133501952695338
MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,N,2,12.128111104060462
RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,12.128111104060462
RENT,8.0,MEDICAL,D,25000,15.33,1,0.40290088638195,Y,2,11.035695790632753
RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,11.282455138269558
OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,9.574983485564092
RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,11.285158743253763
RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,11.285171301098336
MORTGAGE,0.0,MEDICAL,C,1500,10.995555082490686,0,0.1,N,4,9.574983485564092
RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,11.289781913656018
RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,11.289781913656018
RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,12.128111104060462
OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,12.128111104060462
RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,12.128067859882202
OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,12.122691036591124
MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,12.05524975579559
MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,12.117241431823558
MORTGAGE,3.0,EDUCATION,A,1000,10.995555082490686,0,0.01,N,2,12.117241431823558
MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,12.11697910233622
RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,11.211874424779491
RENT,10.0,DEBTCONSOLIDATION,D,25000,10.995555082490686,1,0.34,Y,4,11.211874424779491
RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,11.302204433654577
RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,11.309584540952198
RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,11.314474526246393
RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,11.326595886778737
RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,11.326595886778737
RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,12.100712129872347
OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,9.574983485564092
OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,9.574983485564092
RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,11.344506813345266
RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,11.350406535472452
MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,12.100712129872347
MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,12.100712129872347
MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.0700280112044818,N,4,11.86920032888762
MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,10.995555082490686,1,0.41,N,4,9.59315078951954
RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,11.37366339763672
RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,11.225243392518449
RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,11.238488619268468
RENT,1.0,MEDICAL,D,25000,15.37,1,0.3775579551461149,Y,2,11.100662302361064
RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,11.407564949312402
OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,9.615805480084347
OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,12.100712129872347
OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,12.100712129872347
OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,12.100712129872347
OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,12.100712129872347
MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,12.100712129872347
OWN,7.0,MEDICAL,B,4475,10.995555082490686,1,0.3,N,4,9.615805480084347
RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,11.26446410567173
RENT,3.0,MEDICAL,E,25000,17.93,1,0.3770739064856712,Y,4,11.101945176173954
RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3,11.407564949312402
RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,Y,3,11.427367576608582
RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,N,3,11.429543856031176
RENT,1.0,VENTURE,C,25000,12.73,0,0.27,Y,4,11.429543856031176
RENT,3.0,VENTURE,D,25000,15.21,0,0.27,N,4,11.446785662465684
MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,0.12,Y,3,9.615805480084347
RENT,3.0,MEDICAL,F,25000,19.04,1,0.3543586109142452,Y,4,11.16407695728096
RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,Y,3,11.336188286470174
MORTGAGE,3.0,VENTURE,A,2600,8.9,0,0.01,N,4,12.072541252905651
MORTGAGE,6.0,EDUCATION,B,18000,10.995555082490686,0,0.1,N,2,12.072541252905651
OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,1,0.27,N,4,9.615805480084347
OWN,4.0,VENTURE,B,4600,10.99,1,0.31,N,2,9.615805480084347
RENT,6.0,DEBTCONSOLIDATION,D,25000,15.58,1,0.28,Y,2,11.385092093460344
RENT,2.0,MEDICAL,B,25000,10.99,1,0.3342245989304813,N,2,11.222573163962569
RENT,0.0,VENTURE,D,25000,14.96,1,0.28,N,4,11.385092093460344
OWN,2.0,HOMEIMPROVEMENT,D,1750,15.31,0,0.12,Y,4,9.615805480084347
RENT,2.0,VENTURE,D,25000,15.65,1,0.28,N,3,11.385092093460344
RENT,1.0,VENTURE,B,25000,9.33,0,0.25,N,4,11.512925464970229
MORTGAGE,0.0,PERSONAL,C,3600,13.47,1,0.24,N,4,9.615805480084347
RENT,8.0,PERSONAL,B,25000,10.36,0,0.24,N,3,11.536641991587544
RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,Y,4,11.429543856031176
RENT,0.0,DEBTCONSOLIDATION,D,25000,14.59,1,0.27,Y,2,11.440354772135391
RENT,6.0,VENTURE,C,3500,11.91,0,0.02,Y,2,12.072541252905651
MORTGAGE,3.0,EDUCATION,A,7200,8.38,0,0.04,N,3,12.072541252905651
RENT,9.0,VENTURE,B,9000,10.59,0,0.05,N,3,12.070871287861326
MORTGAGE,2.0,DEBTCONSOLIDATION,C,8800,14.27,0,0.05,N,3,12.066810578196666
RENT,8.0,DEBTCONSOLIDATION,B,12000,12.53,0,0.07,N,4,12.066810578196666
MORTGAGE,5.0,DEBTCONSOLIDATION,E,25000,16.0,1,0.15,Y,3,11.99535161421452
MORTGAGE,10.0,VENTURE,B,10000,11.71,0,0.06,N,4,12.063742658549302
OWN,0.0,HOMEIMPROVEMENT,C,3175,11.54,1,0.21,Y,3,9.615805480084347
RENT,2.0,HOMEIMPROVEMENT,E,25000,15.68,1,0.26,Y,4,11.472103470449971
MORTGAGE,0.0,EDUCATION,B,1500,10.59,0,0.1,N,2,9.623773649733524
RENT,8.0,HOMEIMPROVEMENT,D,25000,12.61,1,0.26,Y,2,11.4917835412168
RENT,3.0,PERSONAL,C,25000,10.995555082490686,0,0.23,Y,2,11.608235644774552
MORTGAGE,7.0,PERSONAL,A,2800,8.49,1,0.18,N,3,9.62931383010914
RENT,0.0,PERSONAL,D,30000,17.27,1,0.19,Y,4,11.980425963997844
RENT,6.0,DEBTCONSOLIDATION,A,18000,8.9,0,0.1,N,4,12.052338545588132
MORTGAGE,3.0,MEDICAL,B,10000,11.11,0,0.06,N,4,12.04357724516735
RENT,0.0,HOMEIMPROVEMENT,D,25000,14.59,1,0.16,Y,2,11.970375628144344
RENT,0.0,VENTURE,B,13000,12.42,0,0.08,N,3,12.0435537160324
RENT,0.0,MEDICAL,D,25000,10.995555082490686,1,0.3001200480192076,N,2,11.330203828154934
RENT,7.0,HOMEIMPROVEMENT,D,25000,15.7,0,0.23,Y,2,11.608235644774552
RENT,3.0,MEDICAL,D,5000,16.49,1,0.0372300819061801,N,2,11.80783138251133
MORTGAGE,2.0,EDUCATION,A,20000,7.49,0,0.12,N,2,12.0435537160324
